[06-30 10:52:24 MainThread @logger.py:224] Argv: D:/Users/Documents/doubandemo/RL/remake/waterworld/watergame.py
[06-30 11:05:25 MainThread @watergame.py:177] Train Episode 620, Reward Sum 23.0.
[06-30 11:05:41 MainThread @watergame.py:177] Train Episode 630, Reward Sum 5.0.
[06-30 11:06:07 MainThread @watergame.py:177] Train Episode 640, Reward Sum 38.0.
[06-30 11:06:21 MainThread @watergame.py:177] Train Episode 650, Reward Sum -4.0.
[06-30 11:06:42 MainThread @watergame.py:177] Train Episode 660, Reward Sum 51.0.
[06-30 11:06:57 MainThread @watergame.py:177] Train Episode 670, Reward Sum 23.0.
[06-30 11:07:15 MainThread @watergame.py:177] Train Episode 680, Reward Sum 1.0.
[06-30 11:07:34 MainThread @watergame.py:177] Train Episode 690, Reward Sum 20.0.
[06-30 11:07:58 MainThread @watergame.py:186] Episode 700, Test reward: 5.0
[06-30 11:08:00 MainThread @watergame.py:177] Train Episode 700, Reward Sum 9.0.
[06-30 11:08:24 MainThread @watergame.py:177] Train Episode 710, Reward Sum 4.0.
[06-30 11:08:40 MainThread @watergame.py:177] Train Episode 720, Reward Sum 6.0.
[06-30 11:08:50 MainThread @watergame.py:177] Train Episode 730, Reward Sum -4.0.
[06-30 11:09:08 MainThread @watergame.py:177] Train Episode 740, Reward Sum -3.0.
[06-30 11:09:21 MainThread @watergame.py:177] Train Episode 750, Reward Sum 17.0.
[06-30 11:09:39 MainThread @watergame.py:177] Train Episode 760, Reward Sum 34.0.
[06-30 11:10:01 MainThread @watergame.py:177] Train Episode 770, Reward Sum 16.0.
[06-30 11:10:20 MainThread @watergame.py:177] Train Episode 780, Reward Sum 22.0.
[06-30 11:10:40 MainThread @watergame.py:177] Train Episode 790, Reward Sum 38.0.
[06-30 11:11:00 MainThread @watergame.py:186] Episode 800, Test reward: 10.8
[06-30 11:11:04 MainThread @watergame.py:177] Train Episode 800, Reward Sum 42.0.
[06-30 11:11:29 MainThread @watergame.py:177] Train Episode 810, Reward Sum 10.0.
[06-30 11:11:44 MainThread @watergame.py:177] Train Episode 820, Reward Sum 12.0.
[06-30 11:12:02 MainThread @watergame.py:177] Train Episode 830, Reward Sum 39.0.
[06-30 11:12:21 MainThread @watergame.py:177] Train Episode 840, Reward Sum 9.0.
[06-30 11:12:36 MainThread @watergame.py:177] Train Episode 850, Reward Sum 3.0.
[06-30 11:12:48 MainThread @watergame.py:177] Train Episode 860, Reward Sum -2.0.
[06-30 11:13:07 MainThread @watergame.py:177] Train Episode 870, Reward Sum 6.0.
[06-30 11:13:24 MainThread @watergame.py:177] Train Episode 880, Reward Sum 42.0.
[06-30 11:13:42 MainThread @watergame.py:177] Train Episode 890, Reward Sum 9.0.
[06-30 11:14:09 MainThread @watergame.py:186] Episode 900, Test reward: 10.9
[06-30 11:14:12 MainThread @watergame.py:177] Train Episode 900, Reward Sum 19.0.
[06-30 11:14:31 MainThread @watergame.py:177] Train Episode 910, Reward Sum 33.0.
[06-30 11:14:51 MainThread @watergame.py:177] Train Episode 920, Reward Sum 1.0.
[06-30 11:15:09 MainThread @watergame.py:177] Train Episode 930, Reward Sum 7.0.
[06-30 11:15:34 MainThread @watergame.py:177] Train Episode 940, Reward Sum 52.0.
[06-30 11:15:54 MainThread @watergame.py:177] Train Episode 950, Reward Sum -1.0.
[06-30 11:16:18 MainThread @watergame.py:177] Train Episode 960, Reward Sum 15.0.
[06-30 11:16:42 MainThread @watergame.py:177] Train Episode 970, Reward Sum 48.0.
[06-30 11:17:08 MainThread @watergame.py:177] Train Episode 980, Reward Sum 39.0.
[06-30 11:17:29 MainThread @watergame.py:177] Train Episode 990, Reward Sum 16.0.
[06-30 11:17:51 MainThread @watergame.py:193] Episode 1000, Test reward: 12.8
